,Hospital Name,State,District,Contact Details,Total Beds Available,Latitude,Longitude
4285,CHC DEOGAVN,Rajasthan,Ajmer,8866078042,5,26.33052,74.71256
4286,DR VIJAY ENT HOSPITAL AJMER,Rajasthan,Ajmer,9982147067,0,,
4287,Lords Hospital,Rajasthan,Alwar,9414261101,183,,
4288,CHC Behror,Rajasthan,Alwar,8426868384,90,27.89007,76.28582
4289,"Rajeev Gandhi Hospital , Alwar",Rajasthan,Alwar,9414261101,78,,
4290,"ESI Hospital ,Bhiwadi, Alwar",Rajasthan,Alwar,9212638898,20,25.62136,76.04499
4291,"Sania Hospital , Alwar",Rajasthan,Alwar,9799906622,98,,
4292,"Mittal Hospital, Alwar",Rajasthan,Alwar,9414019050,14,,
4293,"Hari ram Hospital, Bhiwadi, Tijara",Rajasthan,Alwar,9414013800,50,,
4294,"Harish Hospital, Alwar",Rajasthan,Alwar,7839128319,34,,
4295,"Arihant Hospital, Alwar",Rajasthan,Alwar,9672470222,32,,
4296,"Sachkhand Hospital, Neemrana, Alwar",Rajasthan,Alwar,8769037780,35,,
4297,"Kailash Hospital Behror, Alwar",Rajasthan,Alwar,7496949403,23,,
4298,"Bansur Hospital and Recharge centar, Bansur, Alwar",Rajasthan,Alwar,9460249819,100,27.68464,76.35522
4299,"City Nursingh Home, Bhiwadi,Tijara, Alwar",Rajasthan,Alwar,9414013100,57,,
4300,"Star Hospital , Bhiwadi, Tijara, Alwar",Rajasthan,Alwar,8392831651,50,,
4301,"Gupta Nursing Home, Alwar",Rajasthan,Alwar,9782221500,96,,
4302,"Diamond Hospital, Alwar",Rajasthan,Alwar,9414016879,18,,
4303,"Patel Hospital, Alwar",Rajasthan,Alwar,7742632441,32,,
4304,"Shubham Hospital, Alwar",Rajasthan,Alwar,8696435957,15,,
4305,Sunil Nursing Home,Rajasthan,Alwar,9887880397,12,,
4306,Chc Bansur,Rajasthan,Alwar,9166701219,57,27.68464,76.35522
4307,Chc Khairthal,Rajasthan,Alwar,8000804220,22,27.79885,76.64333
4308,Chc Harsoli,Rajasthan,Alwar,8239460010,20,27.8642,76.62039
4309,Chc Laxmangarh,Rajasthan,Alwar,9602695855,24,27.64558,76.60788
4310,Chc Bhiwadi,Rajasthan,Alwar,7597617154,22,28.20394,76.83744
4311,Chc Rajgarh,Rajasthan,Alwar,9460307577,53,27.24203,76.60948
4312,Chc Thanagazi,Rajasthan,Alwar,9414641463,25,27.39591,76.30611
4313,Chc Pinan,Rajasthan,Alwar,9413067720,30,27.26805,76.75369
4314,Chc Neemrana,Rajasthan,Alwar,9672197850,36,27.99216,76.38566
4315,Chc Mundawar,Rajasthan,Alwar,9414810841,18,27.89545,76.50427
4316,BSC Nursing College Tijara,Rajasthan,Alwar,7597617197,40,27.93509,76.85223
4317,SOLANKI HOSPITAL,Rajasthan,Alwar,9950805805,11,,
4318,ESIC,Rajasthan,Alwar,9582209585,100,27.64558,76.60788
4319,Vaijayanti Hospital,Rajasthan,Alwar,9414017227,0,,
4320,Deepak Gupta Hospital,Rajasthan,Alwar,9818978341,13,,
4321,Soni Devi Hospital,Rajasthan,Alwar,9911840848,0,,
4322,Star Hospital,Rajasthan,Alwar,7891571701,23,,
4323,MH Alwar,Rajasthan,Alwar,7044981970,50,27.64558,76.60788
4324,"Multispeciality Madhuri Hospital, 30 Panchwati Scheme 7",Rajasthan,Alwar,9414017951,25,,
4325,"CHC Tapukara,Tijara",Rajasthan,Alwar,7725979851,20,28.11068,76.83136
4326,CHC Tijara,Rajasthan,Alwar,9414324319,32,27.93509,76.85223
4327,"Dental College Thada , Karoli Tijara",Rajasthan,Alwar,8209955458,42,,
4328,CHC Malakhera,Rajasthan,Alwar,7014195447,5,27.3877,76.6266
4329,CHC Ramgarh,Rajasthan,Alwar,8447722038,10,27.58497,76.81309
4330,CHC Kishangarhbass,Rajasthan,Alwar,9829792749,10,27.64558,76.60788
4331,CHC Kotkashim,Rajasthan,Alwar,9610779954,13,27.64558,76.60788
4332,CHC Pratapgarh,Rajasthan,Alwar,8058366207,20,27.64558,76.60788
4333,CHC Reni,Rajasthan,Alwar,9414922763,5,,
4334,CHC Kherli,Rajasthan,Alwar,9649672033,8,27.20218,77.03714
4335,CHC bardod,Rajasthan,Alwar,7737390006,20,27.64558,76.60788
4336,CHC Shahjapur,Rajasthan,Alwar,8955021937,30,,
4337,"Royal Hotel Rampura , Bhiwadi",Rajasthan,Alwar,7426079722,30,,
4338,Kharak Singh Arora Hospital Alwar,Rajasthan,Alwar,9680253326,33,,
4339,"Heena Child Care Hospital , Lajpat Nagar Alwar",Rajasthan,Alwar,9990290714,16,,
4340,Manohar Hospital And Trauma Center Shajapur,Rajasthan,Alwar,8295099569,20,,
4341,Matsya Nursingh College Alwar,Rajasthan,Alwar,9799558246,100,,
4342,GOVT MAHATMA GANDHI HOSPITAL BANSWARA,Rajasthan,Banswara,9460490150,563,23.76486,74.17751
4343,CHC Partapur,Rajasthan,Banswara,9521191919,60,23.5928,74.174
4344,CHC Kushalgarh,Rajasthan,Banswara,9672000485,75,23.199,74.4507
4345,"Jyotiba Phule Hostel, Banswara",Rajasthan,Banswara,9694847027,28,23.53316,74.07772
4346,CHC Talwara,Rajasthan,Banswara,097262 95061,30,23.5659,74.3217
4347,CHC GHATOL,Rajasthan,Banswara,8003390801,30,23.7573,74.4117
4348,CHC BAGIDORA,Rajasthan,Banswara,9828962956,46,23.4043,74.2675
4349,CHC ANANDPURI,Rajasthan,Banswara,9587643430,40,23.38042,74.02418
4350,CHC CHOTA DUNGRA,Rajasthan,Banswara,9772372056,100,23.1721,74.3148
4351,CHC CHHOTI SARVAN,Rajasthan,Banswara,9409538924,40,23.53316,74.07772
4352,Government Hospital Baran,Rajasthan,Baran,9636607506,89,25.10325,76.5024
4353,Priya Hospital Multi Speciality Baran,Rajasthan,Baran,72318 99001,100,25.39319,74.61771
4354,Radha Krishna Memorial Hospital and Reseach Center,Rajasthan,Baran,9468949761,25,16.18194,81.13513
4355,CHC Anta,Rajasthan,Baran,9928199959,10,25.3313,76.50909
4356,CHC Mangrol,Rajasthan,Baran,9414647161,50,25.33071,76.51204
4357,CHC ATRU,Rajasthan,Baran,9875249628,40,24.8769,76.6611
4358,CHC CHHABADA,Rajasthan,Baran,9001173475,25,25.3313,76.50909
4359,CHC CHHIPABAROD,Rajasthan,Baran,9610699585,15,25.3313,76.50909
4360,CHC Kelwara,Rajasthan,Baran,9983421118,50,25.1375,76.882
4361,CHC Nahargarh,Rajasthan,Baran,8107274367,35,24.66119,76.84864
4362,Siddhivinayak Hospital,Rajasthan,Barmer,9414532888,14,25.75671,70.35606
4363,Navjeevan Multispeciality and Maternity Hospital,Rajasthan,Barmer,9983204110,30,25.75671,70.35606
4364,Baba Ramdev Hospital and Research Center,Rajasthan,Barmer,9414208728,38,25.75671,70.35606
4365,Hitkari HOSPITAL Balotra,Rajasthan,Barmer,9462621101,48,25.83399,72.24043
4366,Govt. Hospital barmer,Rajasthan,Barmer,9928634102,223,27.57639,76.07482
4367,THAR HOSPITAL AND MULTISPECIALITY CENTRE,Rajasthan,Barmer,9799409229,19,25.7324,71.40073
4368,Bishnoi Hospital Balotra,Rajasthan,Barmer,9460589283,25,25.83399,72.24043
4369,Nahta Hospital Sub Dist Balotra,Rajasthan,Barmer,9772205610,23,25.83399,72.24043
4370,Citylite BalOTRA,Rajasthan,Barmer,9414754779,13,25.83399,72.24043
4371,"Dhanwantri Hospital, Barmer",Rajasthan,Barmer,9610689999,13,25.75671,70.35606
4372,Krishna Hospital and Trauma Center Sindhari,Rajasthan,Barmer,9413846250,20,16.18194,81.13513
4373,CHC Bishala,Rajasthan,Barmer,7073736182,5,25.88199,71.24418
4374,CHC Ranigaon,Rajasthan,Barmer,8890091335,10,25.75671,70.35606
4375,CHC Kawas,Rajasthan,Barmer,9414756114,10,25.87611,71.54655
4376,CHC Gida,Rajasthan,Barmer,7665196869,12,26.0808,71.78529
4377,CHC Patodi,Rajasthan,Barmer,9530385650,17,26.08447,72.27109
4378,CHC Kalyanpur,Rajasthan,Barmer,9680296829,10,26.025,72.5852
4379,CHC Pachpadra,Rajasthan,Barmer,9001892700,15,25.92192,72.25325
4380,CHC Jasol,Rajasthan,Barmer,8769425801,15,25.81857,72.22007
4381,CHC Siwana,Rajasthan,Barmer,9414900876,36,25.64801,72.41704
4382,CHC Sedwa,Rajasthan,Barmer,9929728556,15,25.75671,70.35606
4383,CHC Detani,Rajasthan,Barmer,7976472144,11,25.57609,71.61879
4384,CHC Gadraroad,Rajasthan,Barmer,9001943579,10,25.74113,70.64336
4385,R.B.M. Hospital,Rajasthan,Bharatpur,9414375460,354,27.16704,77.34639
4386,Arora Hospital,Rajasthan,Bharatpur,7568267600,18,27.16704,77.34639
4387,Pradeep Hospital,Rajasthan,Bharatpur,9784442244,50,27.16704,77.34639
4388,MJ Hospital,Rajasthan,Bharatpur,9414023355,30,27.16704,77.34639
4389,RAJ Hospital,Rajasthan,Bharatpur,9013644251,0,27.16704,77.34639
4390,Chaudhary Hospital,Rajasthan,Bharatpur,9414117498,26,27.16704,77.34639
4391,Deshwar Hospital and Fracture Clinic,Rajasthan,Bharatpur,8791355668,25,27.16704,77.34639
4392,CHC Roopwas,Rajasthan,Bharatpur,9461533073,10,27.16704,77.34639
4393,CHC Weir,Rajasthan,Bharatpur,9982052519,17,27.01798,77.17408
4394,CHC Nadbai,Rajasthan,Bharatpur,8387889006,10,27.2229,77.1957
4395,CHC Deeg,Rajasthan,Bharatpur,9694816679,75,27.16704,77.34639
4396,CHC Kaman,Rajasthan,Bharatpur,8824024409,32,27.16704,77.34639
4397,CHC Nagar,Rajasthan,Bharatpur,9509085817,25,27.16704,77.34639
4398,CHC Bayana,Rajasthan,Bharatpur,9414336788,25,26.90594,77.29245
4399,CHC Kumher,Rajasthan,Bharatpur,8003035557,10,27.3166,77.3708
4400,Mahila Polytechnic,Rajasthan,Bharatpur,9024081601,87,27.16704,77.34639
4401,CHC Bhushawar,Rajasthan,Bharatpur,8094423660,22,27.16704,77.34639
4402,CHC Pahadi,Rajasthan,Bharatpur,9057101131,17,27.16704,77.34639
4403,CHC Chiksana,Rajasthan,Bharatpur,9414377022,20,27.1886,77.656
4404,Porwal Hospital Pvt Ltd,Rajasthan,Bhilwara,7665656572,114,25.33275,74.57044
4405,Arihant Hospital and Research Sansthan,Rajasthan,Bhilwara,6202576727,125,25.33275,74.57044
4406,Smt Kesar Bai Soni Hospital,Rajasthan,Bhilwara,9950995573,159,25.33275,74.57044
4407,Brijesh Banger Memorial Hospital,Rajasthan,Bhilwara,8696410000,20,25.33275,74.57044
4408,MGH hospital Bhilwara,Rajasthan,Bhilwara,7568282006,274,25.63863,75.18594
4409,AYUSH,Rajasthan,Bhilwara,9460841053,0,25.33275,74.57044
4410,SHRI SIDHI VINAYAK HOSPITAL BHILWARA,Rajasthan,Bhilwara,9413357642,25,25.34444,74.64696
4411,"RAMSNEHI CHIKITSALAYA and ANUSANDHAN KENDRA, BHILWARA",Rajasthan,Bhilwara,9461530806,126,25.33275,74.57044
4412,Shri Ambesh Hospital,Rajasthan,Bhilwara,,0,25.33275,74.57044
4413,Satellite Hospital Shahpura,Rajasthan,Bhilwara,9413056925,25,25.62526,74.92746
4414,C.H.C. RAIPUR,Rajasthan,Bhilwara,+917976969998,15,,
4415,C.H.C. ASIND,Rajasthan,Bhilwara,9460894605,24,25.33275,74.57044
4416,C.H.C. MANDALGARH,Rajasthan,Bhilwara,9414576960,40,25.33275,74.57044
4417,C.H.C. BIJOLIYA,Rajasthan,Bhilwara,8003422748,20,25.33275,74.57044
4418,C.H.C. GANGAPUR,Rajasthan,Bhilwara,9413053122,30,25.33275,74.57044
4419,C.H.C. JAHAZPUR,Rajasthan,Bhilwara,9414268304,25,25.33275,74.57044
4420,CHC BANERA,Rajasthan,Bhilwara,8306224780,20,25.5065,74.6736
4421,CHC MANDAL,Rajasthan,Bhilwara,7976004400,15,25.44185,74.5674
4422,CHC GULABPURA,Rajasthan,Bhilwara,7014805965,20,25.9045,74.6603
4423,CHC KOTRI,Rajasthan,Bhilwara,9694281315,20,25.4007,74.89997
4424,CHC KAREDA,Rajasthan,Bhilwara,9414575637,12,25.33275,74.57044
4425,CHC BADNOR,Rajasthan,Bhilwara,9829110572,20,25.33275,74.57044
4426,TB HOSPITAL,Rajasthan,Bhilwara,9414616211,24,,
4427,Agarwal Utsav Bhawan,Rajasthan,Bhilwara,,100,25.33275,74.57044
4428,KOTHARI MEDICAL AND RESEARCH INSTITUTE,Rajasthan,Bikaner,9828081950,99,28.02656,73.29778
4429,"JEEVAN RAKSHA HOSPITAL, HANSA GUEST HOUSE, NOKHA ROAD, BIKANER",Rajasthan,Bikaner,8690383229,70,25.62136,76.04499
4430,DTM hospital,Rajasthan,Bikaner,9414142187,105,25.62136,76.04499
4431,MN Hospital and Research Center,Rajasthan,Bikaner,9461345180,65,28.02656,73.29778
4432,S P Medical College Bikaner,Rajasthan,Bikaner,9414604192,467,28.01058,73.32427
4433,SDM BIKANER,Rajasthan,Bikaner,9414324706,80,28.12016,72.78646
4434,GOVINDAM MULTISPECLIATY HOSPITAL AND TRAMA CENTRE,Rajasthan,Bikaner,9664408063,27,25.62136,76.04499
4435,"DIVISONAL RAILWAY HOSPITAL LALGARH, BIKANER",Rajasthan,Bikaner,9001097790,40,28.03885,73.31964
4436,SHQ HOSPITAL BSF BIKANER,Rajasthan,Bikaner,9413260468,20,25.62136,76.04499
4437,"187 Military Hospital, Bikaner",Rajasthan,Bikaner,9591128666,25,,
4438,CHC KOLAYAT,Rajasthan,Bikaner,7014683054,10,,
4439,CHC BAJJU,Rajasthan,Bikaner,8947091954,15,,
4440,CHC KHAJUWALA,Rajasthan,Bikaner,9591128666,25,28.70701,72.59411
4441,CHC CHATTARGARH,Rajasthan,Bikaner,9602615828,5,28.67077,73.12545
4442,CHC PUGAL,Rajasthan,Bikaner,9460617027,16,28.5092,72.8086
4443,CHC NOKHA,Rajasthan,Bikaner,9413105787,30,27.55684,73.47322
4444,CHC LUNKARANSAR,Rajasthan,Bikaner,9414956392,22,28.4885,73.752
4445,CHC MAHAJAN,Rajasthan,Bikaner,8378062058,10,28.78574,73.84285
4446,CHC DUNGARGARH,Rajasthan,Bikaner,9414428995,20,28.07564,74.0106
4447,CHC DESHNOK,Rajasthan,Bikaner,9828450451,10,27.79864,73.34465
4448,Pt.Brij Sundar Sharma GH,Rajasthan,Bundi,9829425465,304,,
4449,CHC Nainwa,Rajasthan,Bundi,9414962948,13,25.76987,75.85413
4450,CHC Dei,Rajasthan,Bundi,9462155786,8,25.6763,75.9436
4451,CHC K.Patan,Rajasthan,Bundi,94143128642,12,25.45098,75.74756
4452,CHC Kapren,Rajasthan,Bundi,9799161544,28,25.4053,76.0743
4453,CHC Lakheri,Rajasthan,Bundi,9460033822,16,25.6724,76.1769
4454,CHC Talera,Rajasthan,Bundi,9414489175,20,25.31649,75.72999
4455,CHC Dabi,Rajasthan,Bundi,9929408068,25,,
4456,CHC Indergrah,Rajasthan,Bundi,9521496842,9,25.45098,75.74756
4457,CHC Hindoli,Rajasthan,Bundi,7014608586,26,25.5802,75.4984
4458,CHC Alod,Rajasthan,Bundi,7300362202,13,25.5458,75.5874
4459,Bundi Hospital and Research Center,Rajasthan,Bundi,9680871090,0,,
4460,"Anurag Nursing Home, Bundi",Rajasthan,Bundi,9829035666,8,,
4461,CHC Basoli,Rajasthan,Bundi,9950577337,4,25.5666,75.5968
4462,Sub District Hospital Nimbahera,Rajasthan,Chittorgarh,9414777788,113,24.80703,74.6346
4463,Sri Sanvariya Govt. Hospital,Rajasthan,Chittorgarh,94141 09022,160,24.80703,74.6346
4464,M.P. Birla Hospital and Research centre,Rajasthan,Chittorgarh,9116657156,25,24.80703,74.6346
4465,"Covid Hospital, DCH CoR",Rajasthan,Chittorgarh,9414290017,80,24.80703,74.6346
4466,Community Health Center Rawat Bhata,Rajasthan,Chittorgarh,9414226960,45,24.80703,74.6346
4467,J K Community Center Nimbaheda,Rajasthan,Chittorgarh,9414777788,100,24.80703,74.6346
4468,Community Health Center Bengun,Rajasthan,Chittorgarh,99820 96474,0,24.80703,74.6346
4469,"Community Health Center, Gangrar",Rajasthan,Chittorgarh,8764725853,75,24.80703,74.6346
4470,"Community Health Center, Kapasan",Rajasthan,Chittorgarh,7014561464,7,24.80703,74.6346
4471,"Community Health Center,Bhopal Sagar",Rajasthan,Chittorgarh,8696586384,20,24.80703,74.6346
4472,"Community Health Center,Rashmi",Rajasthan,Chittorgarh,9001990606,30,24.80703,74.6346
4473,"Community Health Center,Dungla",Rajasthan,Chittorgarh,9929380868,45,24.80703,74.6346
4474,"Community Health Center,Mandfiya",Rajasthan,Chittorgarh,9871089475,30,24.80703,74.6346
4475,"Community Health Center, Bassi",Rajasthan,Chittorgarh,9414730077,27,24.80703,74.6346
4476,"Community Health Center,Badi Sadari",Rajasthan,Chittorgarh,7340082763,50,24.80703,74.6346
4477,Govt. DBH General Hospital Churu,Rajasthan,Churu,9610426999,339,28.29464,74.96936
4478,Jalan Hospital Ratangarh,Rajasthan,Churu,9413660894,30,28.074,74.61998
4479,Bagaria Hospital Sujangarh,Rajasthan,Churu,9982023749,70,27.70112,74.46494
4480,"Heart Care Hospital, Churu",Rajasthan,Churu,7742411999,27,28.29464,74.96936
4481,"H.N. Hospital, Churu",Rajasthan,Churu,9414084525,50,28.29464,74.96936
4482,"Mohta Hospital, Rajgarh",Rajasthan,Churu,6376060250,43,28.29464,74.96936
4483,CHC RATANNAGAR,Rajasthan,Churu,9828782847,30,28.29464,74.96936
4484,CHC RAJGARH,Rajasthan,Churu,9461808477,55,28.64154,75.3853
4485,CHC RAJELDESHAR,Rajasthan,Churu,8619123857,30,28.29464,74.96936
4486,CHC SARDARSHAHAR,Rajasthan,Churu,9414400640,25,28.4403,74.4895
4487,CHC TARANAGAR,Rajasthan,Churu,9414322242,20,28.67078,75.03614
4488,CHC BIDASAR,Rajasthan,Churu,9461147850,42,27.83539,74.31742
4489,CHC SALASAR,Rajasthan,Churu,9079216400,25,28.29464,74.96936
4490,"Life Care Hospital, Churu",Rajasthan,Churu,9672553882,30,28.29464,74.96936
4491,"Smt. Sheela goyal Hospital, Churu",Rajasthan,Churu,9414254746,16,28.29685,74.97188
4492,"M.R.M. Choudhay Hospital, Churu",Rajasthan,Churu,9414333931,9,28.29464,74.96936
4493,"Soni Hospital, Rajgarh",Rajasthan,Churu,9460257600,30,28.29464,74.96936
4494,CHC Bandikui,Rajasthan,Dausa,7891510502,30,27.0509,76.5732
4495,CHC Mahwa,Rajasthan,Dausa,9461626327,30,27.0459,76.9315
4496,PMO Dausa,Rajasthan,Dausa,9414271500,130,26.78523,76.40787
4497,CHC Lalsot,Rajasthan,Dausa,9928312155,40,26.5595,76.3291
4498,Geejgarh,Rajasthan,Dausa,8058956477,30,26.4236,76.3897
4499,Bhandarej,Rajasthan,Dausa,9414321802,14,26.8831,76.4264
4500,SDH Bari Dholpur,Rajasthan,Dholpur,8955385609,36,26.6602,77.62701
4501,District Hospital,Rajasthan,Dholpur,9414206920,150,26.6602,77.62701
4502,CHC Maniya,Rajasthan,Dholpur,8440963972,30,26.6602,77.62701
4503,CHC Saipau,Rajasthan,Dholpur,9982269141,10,26.6602,77.62701
4504,CHC Kanchanpur,Rajasthan,Dholpur,9001587374,20,26.6602,77.62701
4505,CHC Basedi,Rajasthan,Dholpur,9414693753,10,26.6602,77.62701
4506,CHC Sarmathura,Rajasthan,Dholpur,9461696567,30,26.6602,77.62701
4507,CHC Rajakeda,Rajasthan,Dholpur,8233301556,41,26.6602,77.62701
4508,Zeel Multispeciality Hospital (NZ Health andMedicare Center),Rajasthan,Dungarpur,9351230464,110,23.68344,73.82284
4509,Medical Collage Hospital Dungarpur,Rajasthan,Dungarpur,9414307247,302,23.68344,73.82284
4510,Pandit Deendayal Upadhyay Hospital Sagwara,Rajasthan,Dungarpur,8426975018,125,23.6795,74.0201
4511,M.M Patidar Hospital,Rajasthan,Dungarpur,9974627920,60,23.68344,73.82284
4512,SMART CARE HOSPITAL,Rajasthan,Dungarpur,9039279471,24,23.68344,73.82284
4513,CHC Sabla,Rajasthan,Dungarpur,9929806187,48,23.8467,74.1776
4514,CHC Simalwara,Rajasthan,Dungarpur,9610824501,30,23.5524,73.68
4515,CHC Obri,Rajasthan,Dungarpur,8233773322,20,23.6402,73.8955
4516,CHC Bichhiwara,Rajasthan,Dungarpur,8769678964,10,23.7833,73.5167
4517,CHC Damri,Rajasthan,Dungarpur,9636479841,10,23.68344,73.82284
4518,CHC Genji,Rajasthan,Dungarpur,9694548989,10,23.7162,73.6959
4519,CHC Aspur,Rajasthan,Dungarpur,9983712332,25,23.9491,74.0849
4520,CHC Chikhali,Rajasthan,Dungarpur,8619562849,10,23.43049,73.95512
4521,CHC Galiyakot,Rajasthan,Dungarpur,9829910885,40,23.66202,74.00976
4522,"Jan Sewa Hospital, Sriganganagar",Rajasthan,Ganganagar,9649904849,98,29.92706,73.87615
4523,GOVT. DISTT. HOSPITAL,Rajasthan,Ganganagar,9460617300,221,29.92706,73.87615
4524,Astha Kidney General hospital,Rajasthan,Ganganagar,9414093355,38,29.92706,73.87615
4525,Jubin Hospital,Rajasthan,Ganganagar,97997744224,43,29.92706,73.87615
4526,PMG Hospital,Rajasthan,Ganganagar,9414080033,45,29.92706,73.87615
4527,SURATGRAH TROMA CENTER,Rajasthan,Ganganagar,9414407214,30,,
4528,"Tantia General Hospital , Shriganganagar",Rajasthan,Ganganagar,,58,29.92706,73.87615
4529,Medanta S.N. superspecialty hospital,Rajasthan,Ganganagar,9810483293,100,29.92706,73.87615
4530,CHC CHUNWADH,Rajasthan,Ganganagar,8447901311,20,29.92706,73.87615
4531,CHC SADULSAHAR,Rajasthan,Ganganagar,9413712290,15,29.92706,73.87615
4532,CHC KARANPUR,Rajasthan,Ganganagar,9983320272,20,29.92706,73.87615
4533,CHC RAISINGHNAGAR,Rajasthan,Ganganagar,9667057999,15,29.92706,73.87615
4534,CHC SURATGARH,Rajasthan,Ganganagar,9414407214,10,29.92706,73.87615
4535,CHC PADAMPUR,Rajasthan,Ganganagar,9461090884,25,29.92706,73.87615
4536,CHC ANOOPGARH,Rajasthan,Ganganagar,9521557553,30,29.92706,73.87615
4537,CHC GHARSANA,Rajasthan,Ganganagar,9460782318,18,29.92706,73.87615
4538,Mahatma Gandhi Memorial Govt. Hospital,Rajasthan,Hanumangarh,8290402021,60,,
4539,Vivekanand Swasthya Sewa Samiti,Rajasthan,Hanumangarh,9509083480,24,,
4540,Government Hospital Rawatsar,Rajasthan,Hanumangarh,9829425976,45,,
4541,HISSARIA MULTI SPECIALITY HOSPITAL HANUMANGARH TOWN,Rajasthan,Hanumangarh,9460539808,8,29.57403,74.33503
4542,CHC Bhadara,Rajasthan,Hanumangarh,9414635591,30,29.61308,74.27666
4543,CHC Nohar,Rajasthan,Hanumangarh,9587529529,11,29.18414,74.76914
4544,CHC PILIBANGA,Rajasthan,Hanumangarh,9414513035,15,29.49162,74.07902
4545,CHC SANGRIA,Rajasthan,Hanumangarh,9829455940,50,29.61308,74.27666
4546,CHC TIBBI,Rajasthan,Hanumangarh,7742377407,8,29.5553,74.50592
4547,RKB Maxima Hospital,Rajasthan,Jaipur,9829884488,38,26.88704,75.83334
4548,Asthma Bhawan,Rajasthan,Jaipur,9784003561,35,27.11636,75.52458
4549,Criticonix Khandaka Hospital,Rajasthan,Jaipur,8079090071,25,26.95706,75.6861
4550,Heart and General Hospital,Rajasthan,Jaipur,9352238111,22,26.88704,75.83334
4551,Maxwell Hospital,Rajasthan,Jaipur,998236099,60,,
4552,Monica hospital,Rajasthan,Jaipur,9414292582,28,,
4553,Pooja hospital,Rajasthan,Jaipur,9694000116,14,,
4554,Asian Cancer Hospital,Rajasthan,Jaipur,9530370043,20,,
4555,Advanced Neurology and Super speciality Hospital,Rajasthan,Jaipur,9829059370,20,,
4556,Bhagwan Mahaveer Cancer Hospital,Rajasthan,Jaipur,9351447786,40,,
4557,Siddham ENT Hospital,Rajasthan,Jaipur,9828166900,19,,
4558,Maharaja Agarsen Hospital,Rajasthan,Jaipur,9784837830,9,,
4559,Sardar Singh Memorial Hospital,Rajasthan,Jaipur,8003077223,42,,
4560,Shiv Adarsh Hospital Bindayka,Rajasthan,Jaipur,8769899769,25,,
4561,Manjeet Institute of Critical care Viddhyadhar Nagar,Rajasthan,Jaipur,9950218999,60,,
4562,Shree Ambe Hospital Newaru Road,Rajasthan,Jaipur,9887231824,26,,
4563,Jaipur Durbeen Hospital Sodala,Rajasthan,Jaipur,9829043953,44,26.90667,75.78311
4564,S.K.G Hospital and Research Center Vidhydhar Nagar,Rajasthan,Jaipur,9672064954,48,26.88704,75.83334
4565,R.N. Multi Speciality Hospital Nirman Nagar,Rajasthan,Jaipur,,22,25.62136,76.04499
4566,Sewaytan Hospital Sodala,Rajasthan,Jaipur,8094810525,40,26.88704,75.83334
4567,Khandelwal Heart Institute Vidhyadhar Nagar,Rajasthan,Jaipur,7737014388,10,26.966,75.7632
4568,Jan Kalyan Hospital Chomu,Rajasthan,Jaipur,,0,26.88704,75.83334
4569,Shiv Dhara Chomu,Rajasthan,Jaipur,9784100101,30,27.16486,75.72335
4570,"Covid Care Centre, Radha Soami Satsang Beas, Bilwa",Rajasthan,Jaipur,9829796690,0,27.11636,75.52458
4571,SMS Medical College Jaipur,Rajasthan,Jaipur,9414752188,41,,
4572,CHC AMER,Rajasthan,Jaipur,9414328867,6,27.11636,75.52458
4573,CHC SAMOD,Rajasthan,Jaipur,8947947969,50,27.2021,75.8104
4574,CHC NARHEDA,Rajasthan,Jaipur,9530178090,40,,
4575,CHC VIRAT NAGAR,Rajasthan,Jaipur,9782972811,15,,
4576,CHC PAWTA,Rajasthan,Jaipur,9460542702,10,,
4577,CHC SHAHPURA,Rajasthan,Jaipur,9649824678,36,,
4578,CHC SIRSI,Rajasthan,Jaipur,,15,,
4579,CHC JAMWA RAMGARH,Rajasthan,Jaipur,9829320343,20,,
4580,CHC JALSU,Rajasthan,Jaipur,9530054694,19,,
4581,SDH Dudu,Rajasthan,Jaipur,6377747476,5,,
4582,Satellite Sanganer,Rajasthan,Jaipur,7374004554,17,,
4583,Satellite Chaksu,Rajasthan,Jaipur,9001352810,100,,
4584,CHC Phagi,Rajasthan,Jaipur,9549964444,70,,
4585,CHC Bichoon,Rajasthan,Jaipur,+919351373005,101,27.11636,75.52458
4586,CHC Bassi,Rajasthan,Jaipur,7374004599,30,,
4587,CHC Tunga,Rajasthan,Jaipur,7374004599,10,,
4588,CHC Sambhar,Rajasthan,Jaipur,9413,50,,
4589,CHC Phulera,Rajasthan,Jaipur,9461700707,10,,
4590,CHC Renwal,Rajasthan,Jaipur,9414354250,20,,
4591,CHC Jobner,Rajasthan,Jaipur,9660249419,20,,
4592,CHC Kothkhawada,Rajasthan,Jaipur,9829208032,30,27.11636,75.52458
4593,Khandaka Hospital,Rajasthan,Jaipur,9782688654,20,26.95706,75.6861
4594,Ramanji Hospital,Rajasthan,Jaipur,9460229349,35,26.88704,75.83334
4595,HCG Cancer Hospital,Rajasthan,Jaipur,9929032L72,70,26.88704,75.83334
4596,JAIN ENT HOSPITAL,Rajasthan,Jaipur,,0,26.88704,75.83334
4597,DESHBANDHU ENT HOSPITAL,Rajasthan,Jaipur,+919828467151,28,26.88704,75.83334
4598,SADHNA HOSPITAL KHATIPURA ROAD,Rajasthan,Jaipur,9314507174,27,26.92189,75.74996
4599,PINK VINAYAK HOSPITAL DULESVAR GARDAN,Rajasthan,Jaipur,9812075333,58,26.95707,75.68861
